Function,Category,Subcategory,Control ID,Control Description,Current State Score (0-5),Target State Score (0-5),Gap Score (Target-Current),Likelihood (1-5),Impact (1-5),Inherent Risk Score (LxI),Risk Level,Mitigation Effectiveness (0-5),Residual Risk Score,Compensating Controls,Justification / Notes
Identify,Asset Management,ID.AM-1,ID.AM-1,"Physical devices and systems within the organization are inventoried.",3,4,=G2-F2,3,3,=I2*J2,=IF(K2>=20,"Critical",IF(K2>=12,"High",IF(K2>=6,"Medium","Low"))),1,=MAX(0,K2-M2),"N/A","Inventory exists but is not automatically reconciled against CMDB."
Identify,Asset Management,ID.AM-2,ID.AM-2,"Software platforms and applications within the organization are inventoried.",2,4,=G3-F3,4,3,=I3*J3,=IF(K3>=20,"Critical",IF(K3>=12,"High",IF(K3>=6,"Medium","Low"))),1,=MAX(0,K3-M3),"Partial EDR coverage","Software inventory is inconsistent across endpoints."
Identify,Goverance,ID.GV-1,ID.GV-1,"Organizational cybersecurity policy is established and communicated.",4,5,=G4-F4,2,3,=I4*J4,=IF(K4>=20,"Critical",IF(K4>=12,"High",IF(K4>=6,"Medium","Low"))),2,=MAX(0,K4-M4),"N/A","Annual policy review is on schedule."
Identify,Risk Assessment,ID.RA-1,ID.RA-1,"Asset vulnerabilities are identified and documented.",3,5,=G5-F5,4,4,=I5*J5,=IF(K5>=20,"Critical",IF(K5>=12,"High",IF(K5>=6,"Medium","Low"))),1,=MAX(0,K5-M5),"N/A","Vulnerability scans occur monthly; coverage gaps for OT assets."
Identify,Risk Management Strategy,ID.RM-1,ID.RM-1,"Risk management processes are established, managed, and agreed to by stakeholders.",3,4,=G6-F6,3,4,=I6*J6,=IF(K6>=20,"Critical",IF(K6>=12,"High",IF(K6>=6,"Medium","Low"))),2,=MAX(0,K6-M6),"N/A","Risk appetite statements not consistently applied."
Protect,Access Control,PR.AC-1,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited.",3,5,=G7-F7,4,4,=I7*J7,=IF(K7>=20,"Critical",IF(K7>=12,"High",IF(K7>=6,"Medium","Low"))),1,=MAX(0,K7-M7),"Quarterly access reviews","Access lifecycle is not fully automated for contractors."
Protect,Access Control,PR.AC-3,PR.AC-3,"Remote access is managed.",4,5,=G8-F8,3,4,=I8*J8,=IF(K8>=20,"Critical",IF(K8>=12,"High",IF(K8>=6,"Medium","Low"))),2,=MAX(0,K8-M8),"MFA enforced","Legacy VPN clients remain in use."
Protect,Data Security,PR.DS-1,PR.DS-1,"Data-at-rest is protected.",2,5,=G9-F9,4,5,=I9*J9,=IF(K9>=20,"Critical",IF(K9>=12,"High",IF(K9>=6,"Medium","Low"))),1,=MAX(0,K9-M9),"Database encryption on critical systems","File shares are not fully encrypted."
Protect,Information Protection Processes and Procedures,PR.IP-3,PR.IP-3,"Configuration change control processes are in place.",3,4,=G10-F10,3,3,=I10*J10,=IF(K10>=20,"Critical",IF(K10>=12,"High",IF(K10>=6,"Medium","Low"))),1,=MAX(0,K10-M10),"N/A","Change approvals are inconsistently documented."
Protect,Awareness and Training,PR.AT-1,PR.AT-1,"All users are informed and trained.",4,5,=G11-F11,2,3,=I11*J11,=IF(K11>=20,"Critical",IF(K11>=12,"High",IF(K11>=6,"Medium","Low"))),2,=MAX(0,K11-M11),"N/A","Annual training completion is >92%."
Detect,Anomalies and Events,DE.AE-2,DE.AE-2,"Detected events are analyzed to understand attack targets and methods.",3,5,=G12-F12,4,4,=I12*J12,=IF(K12>=20,"Critical",IF(K12>=12,"High",IF(K12>=6,"Medium","Low"))),1,=MAX(0,K12-M12),"N/A","Triage workflow exists but lacks advanced correlation."
Detect,Security Continuous Monitoring,DE.CM-1,DE.CM-1,"The network is monitored to detect potential cybersecurity events.",3,5,=G13-F13,4,5,=I13*J13,=IF(K13>=20,"Critical",IF(K13>=12,"High",IF(K13>=6,"Medium","Low"))),1,=MAX(0,K13-M13),"24x7 monitoring","Limited visibility into east-west traffic."
Respond,Response Planning,RS.RP-1,RS.RP-1,"Response plan is executed during or after an incident.",3,5,=G14-F14,3,4,=I14*J14,=IF(K14>=20,"Critical",IF(K14>=12,"High",IF(K14>=6,"Medium","Low"))),2,=MAX(0,K14-M14),"N/A","Tabletop exercises occur annually but metrics are limited."
Respond,Communications,RS.CO-2,RS.CO-2,"Incidents are reported consistent with established criteria.",4,5,=G15-F15,2,3,=I15*J15,=IF(K15>=20,"Critical",IF(K15>=12,"High",IF(K15>=6,"Medium","Low"))),2,=MAX(0,K15-M15),"N/A","Escalation thresholds are documented and followed."
Recover,Recovery Planning,RC.RP-1,RC.RP-1,"Recovery plan is executed during or after a cybersecurity incident.",2,5,=G16-F16,4,5,=I16*J16,=IF(K16>=20,"Critical",IF(K16>=12,"High",IF(K16>=6,"Medium","Low"))),1,=MAX(0,K16-M16),"DR testing for Tier-1 apps","Recovery objectives not defined for all systems."
Recover,Improvements,RC.IM-1,RC.IM-1,"Recovery plans incorporate lessons learned.",2,4,=G17-F17,3,4,=I17*J17,=IF(K17>=20,"Critical",IF(K17>=12,"High",IF(K17>=6,"Medium","Low"))),1,=MAX(0,K17-M17),"N/A","Post-incident reviews are not consistently tracked."
Recover,Communications,RC.CO-1,RC.CO-1,"Public relations are managed.",3,4,=G18-F18,2,4,=I18*J18,=IF(K18>=20,"Critical",IF(K18>=12,"High",IF(K18>=6,"Medium","Low"))),2,=MAX(0,K18-M18),"Crisis comms templates","Stakeholder notification cadence needs improvement.",