Function,Category,Subcategory,Control ID,Control Description,Mapped Internal Control Name,Policy / Procedure Reference,Evidence Required,Control Owner
Identify,Asset Management,ID.AM-1,ID.AM-1,"Physical devices and systems within the organization are inventoried.",IT Asset Inventory & Lifecycle Control,"IT Asset Management Policy v2.1","Asset inventory export; CMDB reconciliation report","IT Operations Manager"
Identify,Asset Management,ID.AM-2,ID.AM-2,"Software platforms and applications within the organization are inventoried.",Authorized Software Inventory Control,"Software Asset Management Standard v1.4","Software inventory scan results; license reconciliation","Endpoint Management Lead"
Identify,Governance,ID.GV-1,ID.GV-1,"Organizational cybersecurity policy is established and communicated.",Enterprise Cybersecurity Policy Management,"Information Security Policy v3.0","Approved policy document; annual acknowledgment records","CISO"
Identify,Risk Assessment,ID.RA-1,ID.RA-1,"Asset vulnerabilities are identified and documented.",Vulnerability Management Program,"Vulnerability Management Procedure v2.2","Monthly vulnerability scan reports; remediation tickets","Security Operations Manager"
Identify,Risk Management Strategy,ID.RM-1,ID.RM-1,"Risk management processes are established, managed, and agreed to by stakeholders.",Enterprise Risk Management Alignment,"Risk Management Policy v1.8","Risk register; steering committee minutes","GRC Manager"
Protect,Access Control,PR.AC-1,PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited.",Identity Lifecycle Management,"Access Management Standard v2.0","Joiner/mover/leaver records; access reviews","IAM Manager"
Protect,Access Control,PR.AC-3,PR.AC-3,"Remote access is managed.",Secure Remote Access Control,"Remote Access Procedure v1.6","VPN configuration baseline; MFA logs","Network Security Lead"
Protect,Data Security,PR.DS-1,PR.DS-1,"Data-at-rest is protected.",Data Encryption at Rest Control,"Data Protection Standard v2.3","Encryption configuration evidence; key management logs","Data Protection Officer"
Protect,Information Protection Processes and Procedures,PR.IP-3,PR.IP-3,"Configuration change control processes are in place.",Change Management Control,"Change Management Policy v2.5","Change tickets; CAB approvals; change logs","IT Service Manager"
Protect,Awareness and Training,PR.AT-1,PR.AT-1,"All users are informed and trained.",Security Awareness Program,"Security Awareness Policy v1.2","Training completion reports; phishing results","Security Awareness Lead"
Detect,Anomalies and Events,DE.AE-2,DE.AE-2,"Detected events are analyzed to understand attack targets and methods.",Security Event Analysis Control,"Security Monitoring Procedure v3.1","SIEM alert triage records; incident analysis notes","SOC Manager"
Detect,Security Continuous Monitoring,DE.CM-1,DE.CM-1,"The network is monitored to detect potential cybersecurity events.",Network Security Monitoring Control,"Network Monitoring Standard v2.0","SIEM dashboards; IDS/IPS logs","SOC Manager"
Respond,Response Planning,RS.RP-1,RS.RP-1,"Response plan is executed during or after an incident.",Incident Response Plan Execution,"Incident Response Plan v3.0","IR plan; tabletop exercise results","Incident Response Lead"
Respond,Communications,RS.CO-2,RS.CO-2,"Incidents are reported consistent with established criteria.",Incident Reporting & Escalation Control,"Incident Reporting Procedure v2.1","Incident tickets; escalation logs","Incident Response Lead"
Recover,Recovery Planning,RC.RP-1,RC.RP-1,"Recovery plan is executed during or after a cybersecurity incident.",Disaster Recovery Plan Execution,"Disaster Recovery Plan v2.4","DR test results; recovery runbooks","Business Continuity Manager"
Recover,Improvements,RC.IM-1,RC.IM-1,"Recovery plans incorporate lessons learned.",Post-Incident Improvement Process,"Post-Incident Review Procedure v1.3","PIR reports; corrective action logs","GRC Manager"
Recover,Communications,RC.CO-1,RC.CO-1,"Public relations are managed.",Crisis Communications Plan,"Crisis Communications Plan v1.1","Crisis communication templates; approval records","Corporate Communications Lead"